SCADAName,WeekStartDate,Pumpage,Pumpage05,Pumpage10,Pumpage_10,Pumpage15
BUD-2,2013-10-07,0.9,0.4,0,0.9,0
BUD-2,2013-10-14,0.9,0.4,0,0.9,0
BUD-2,2013-10-21,0.9,0.4,0,0.9,0
BUD-2,2013-10-28,0.906,0.406,0,0.906,0
BUD-2,2013-11-04,0.9,0.4,0,0.9,0
BUD-2,2013-11-11,0.886,0.386,0,0.886,0
BUD-2,2013-11-18,0.899,0.399,0,0.899,0
BUD-2,2013-11-25,0.899,0.399,0,0.899,0
BUD-2,2013-12-02,0.9,0.4,0,0.9,0
BUD-2,2013-12-09,0.9,0.4,0,0.9,0
BUD-2,2013-12-16,0.9,0.4,0,0.9,0
BUD-2,2013-12-23,0.896,0.396,0,0.896,0
BUD-2,2013-12-30,0.664,0.164,0,0.664,0
BUD-2,2014-01-06,0.619,0.119,0,0.619,0
BUD-2,2014-01-13,0.843,0.343,0,0.843,0
BUD-2,2014-01-20,0.9,0.4,0,0.9,0
BUD-2,2014-01-27,0.9,0.4,0,0.9,0
BUD-2,2014-02-03,0.639,0.139,0,0.639,0
BUD-2,2014-02-10,0.9,0.4,0,0.9,0
BUD-2,2014-02-17,0.774,0.274,0,0.774,0
BUD-2,2014-02-24,0.9,0.4,0,0.9,0
BUD-2,2014-03-03,0.477,0,0,0.477,0
BUD-2,2014-03-10,0.164,0,0,0.164,0
BUD-2,2014-03-17,0,0,0,0,0
BUD-2,2014-03-24,0.709,0.209,0,0.709,0
BUD-2,2014-03-31,0.89,0.39,0,0.89,0
BUD-2,2014-04-07,0.893,0.393,0,0.893,0
BUD-2,2014-04-14,0.444,0,0,0.444,0
BUD-2,2014-04-21,0.034,0,0,0.034,0
BUD-2,2014-04-28,0.516,0.016,0,0.516,0
BUD-2,2014-05-05,0.8,0.3,0,0.8,0
BUD-2,2014-05-12,0.8,0.3,0,0.8,0
BUD-2,2014-05-19,0.8,0.3,0,0.8,0
BUD-2,2014-05-26,0.79,0.29,0,0.79,0
BUD-2,2014-06-02,0.8,0.3,0,0.8,0
BUD-2,2014-06-09,0.669,0.169,0,0.669,0
BUD-2,2014-06-16,0.676,0.176,0,0.676,0
BUD-2,2014-06-23,0.8,0.3,0,0.8,0
BUD-2,2014-06-30,0.864,0.364,0,0.864,0
BUD-2,2014-07-07,0.339,0,0,0.339,0
BUD-2,2014-07-14,0,0,0,0,0
BUD-2,2014-07-21,0,0,0,0,0
BUD-2,2014-07-28,0,0,0,0,0
BUD-2,2014-08-04,0,0,0,0,0
BUD-2,2014-08-11,0,0,0,0,0
BUD-2,2014-08-18,0,0,0,0,0
BUD-2,2014-08-25,0,0,0,0,0
BUD-2,2014-09-01,0,0,0,0,0
BUD-2,2014-09-08,0,0,0,0,0
BUD-2,2014-09-15,0,0,0,0,0
BUD-2,2014-09-22,0,0,0,0,0
BUD-2,2014-09-29,0,0,0,0,0
BUD-2,2014-10-06,0,0,0,0,0
BUD-2,2014-10-13,0,0,0,0,0
BUD-2,2014-10-20,0,0,0,0,0
BUD-2,2014-10-27,0,0,0,0,0
BUD-2,2014-11-03,0,0,0,0,0
BUD-2,2014-11-10,0.836,0.336,0,0.836,0
BUD-2,2014-11-17,0.9,0.4,0,0.9,0
BUD-2,2014-11-24,0.9,0.4,0,0.9,0
BUD-2,2014-12-01,0.9,0.4,0,0.9,0
BUD-2,2014-12-08,0.9,0.4,0,0.9,0
BUD-2,2014-12-15,0.9,0.4,0,0.9,0
BUD-2,2014-12-22,0.9,0.4,0,0.9,0
BUD-2,2014-12-29,0.9,0.4,0,0.9,0
BUD-2,2015-01-05,0.873,0.373,0,0.873,0
BUD-2,2015-01-12,0.9,0.4,0,0.9,0
BUD-2,2015-01-19,0.9,0.4,0,0.9,0
BUD-2,2015-01-26,0.9,0.4,0,0.9,0
BUD-2,2015-02-02,0.9,0.4,0,0.9,0
BUD-2,2015-02-09,0.9,0.4,0,0.9,0
BUD-2,2015-02-16,0.829,0.329,0,0.829,0
BUD-2,2015-02-23,0.84,0.34,0,0.84,0
BUD-2,2015-03-02,0.894,0.394,0,0.894,0
BUD-2,2015-03-09,0.9,0.4,0,0.9,0
BUD-2,2015-03-16,0.9,0.4,0,0.9,0
BUD-2,2015-03-23,0.9,0.4,0,0.9,0
BUD-2,2015-03-30,0.9,0.4,0,0.9,0
BUD-2,2015-04-06,0.9,0.4,0,0.9,0
BUD-2,2015-04-13,0.86,0.36,0,0.86,0
BUD-2,2015-04-20,0.856,0.356,0,0.856,0
BUD-2,2015-04-27,0.9,0.4,0,0.9,0
BUD-2,2015-05-04,0.9,0.4,0,0.9,0
BUD-2,2015-05-11,0.9,0.4,0,0.9,0
BUD-2,2015-05-18,0.9,0.4,0,0.9,0
BUD-2,2015-05-25,0.9,0.4,0,0.9,0
