RA Period,Wellfield,Date,WF_Pumpage,PctOfWFMax,PctOfWFMax_RA,C1gt80,C2gt85
RA First SixYrs,CBR,2007-10-01,16.205273224043708,100.0,100.0,1,1
RA First SixYrs,CBR,2008-10-01,15.612328767123287,96.3410400508356,96.3410400508356,1,1
RA First SixYrs,CBR,2009-10-01,13.947972602739728,86.07057968047815,86.07057968047815,1,1
RA First SixYrs,CBR,2010-10-01,12.134739726027398,74.88142630031764,74.88142630031764,0,0
RA First SixYrs,CBR,2011-10-01,14.69207650273225,90.66231898474669,90.66231898474669,1,1
RA First SixYrs,CBR,2012-10-01,13.187780821917796,81.37956478482036,81.37956478482036,1,0
RA Last SixYrs,CBR,2013-10-01,13.976109589041105,86.24420826367061,95.16578500100549,1,1
RA Last SixYrs,CBR,2014-10-01,13.71745205479452,84.64807637085676,93.40454041887213,1,1
RA Last SixYrs,CBR,2015-10-01,14.686065573770488,90.62522655885137,100.0,1,1
RA Last SixYrs,CBR,2016-10-01,14.386849315068504,88.77881363779035,97.9625839391839,1,1
RA Last SixYrs,CBR,2017-10-01,11.804520547945202,72.84369960779726,80.37905379524,0,0
RA Last SixYrs,CBR,2018-10-01,13.634109589041095,84.13378411178044,92.83704693101602,1,1
RA Extended Period,CBR,2019-10-01,11.015819672131148,67.97675990915731,74.59304860467115,0,0
RA Extended Period,CBR,2020-10-01,10.567178082191782,65.20826854380522,71.55509546813896,0,0
RA Extended Period,CBR,2021-10-01,10.342109589041097,63.819408942124745,70.03105590062113,0,0
RA Extended Period,CBR,2022-10-01,14.767890410958906,91.13015378875463,100.0,1,1
RA First SixYrs,COS,2007-10-01,6.670928961748639,76.37597736025855,100.0,0,1
RA First SixYrs,COS,2008-10-01,5.97460273972603,68.4036850343315,89.56178028554388,0,1
RA First SixYrs,COS,2009-10-01,1.5864383561643831,18.163254423578174,23.781370859457223,0,0
RA First SixYrs,COS,2010-10-01,4.9291232876712305,56.43391059682617,73.8896084178832,0,0
RA First SixYrs,COS,2011-10-01,4.35617486338798,49.874180140607564,65.30087321220857,0,0
RA First SixYrs,COS,2012-10-01,4.339287671232875,49.68083738233322,65.0477271773469,0,0
RA Last SixYrs,COS,2013-10-01,5.049945205479457,57.81721000116059,63.974163632640504,0,0
RA Last SixYrs,COS,2014-10-01,6.621506849315062,75.81013980420495,83.88316020005475,0,0
RA Last SixYrs,COS,2015-10-01,6.134890710382515,70.23883430487216,77.71856648038906,0,0
RA Last SixYrs,COS,2016-10-01,7.893726027397261,90.375874756511,100.0,1,1
RA Last SixYrs,COS,2017-10-01,7.122986301369858,81.55161651552825,90.2360466609514,1,1
RA Last SixYrs,COS,2018-10-01,6.646630136986298,76.09777825177292,84.20142926062309,0,0
RA Extended Period,COS,2019-10-01,7.6277595628415344,87.33080430350898,87.33080430350898,1,1
RA Extended Period,COS,2020-10-01,8.734328767123296,100.0,100.0,1,1
RA Extended Period,COS,2021-10-01,7.6886849315068515,88.02834352248875,88.02834352248875,1,1
RA Extended Period,COS,2022-10-01,8.437260273972603,96.59884003600962,96.59884003600962,1,1
