RA Period,Wellfield,Date,WF_Pumpage,AnnualSTD,PctOfCWUP,StdPctOfCWUP
,CBR,2006-10-01,15.602876712328767,4.811861454555351,13.703059870592401,2.946640738302727
RA First SixYrs,CBR,2007-10-01,16.205273224043708,6.111897833784834,17.22360605890696,3.4564913463906684
RA First SixYrs,CBR,2008-10-01,15.612328767123287,3.9838318570493523,17.631119630158267,5.314607124714298
RA First SixYrs,CBR,2009-10-01,13.947972602739728,5.146458160002253,18.442171778890305,7.08776881499425
RA First SixYrs,CBR,2010-10-01,12.134739726027398,3.2173946443443904,15.196899758007845,4.726440611549681
RA First SixYrs,CBR,2011-10-01,14.69207650273225,4.289003659202414,18.496948836861343,4.269027694579043
RA First SixYrs,CBR,2012-10-01,13.187780821917796,2.9979748212339223,18.05011811743883,6.171410523707287
RA Last SixYrs,CBR,2013-10-01,13.976109589041105,3.731457407443014,19.145360353304415,4.273217637862174
RA Last SixYrs,CBR,2014-10-01,13.71745205479452,2.88095199963586,17.114643808733902,2.918466354001038
RA Last SixYrs,CBR,2015-10-01,14.686065573770488,3.6113038416594634,18.63814821018686,2.980817799010121
RA Last SixYrs,CBR,2016-10-01,14.386849315068504,4.150557779513185,16.893844688285114,4.049053449410321
RA Last SixYrs,CBR,2017-10-01,11.804520547945202,3.292983733810822,14.691510920473162,3.4760664067174027
RA Last SixYrs,CBR,2018-10-01,13.634109589041095,3.8256347012068694,16.733409350434535,4.056604166253107
RA Extended Period,CBR,2019-10-01,11.015819672131148,4.316973668562726,13.00239291268499,4.687465452381258
RA Extended Period,CBR,2020-10-01,10.567178082191782,4.493753904895096,12.832998964474376,5.716767925588648
RA Extended Period,CBR,2021-10-01,10.342109589041097,3.064130245890578,13.386643172075976,3.4591969395911195
RA Extended Period,CBR,2022-10-01,14.767890410958906,5.584106389009922,16.58852539306177,5.191914622688615
,COS,2006-10-01,8.65602739726027,2.114525340786882,7.754311587816087,1.939690370256164
RA First SixYrs,COS,2007-10-01,6.670928961748639,2.46709994697506,7.1591123648006185,1.7178208693508035
RA First SixYrs,COS,2008-10-01,5.97460273972603,2.139790522892505,6.657356151768847,2.280427112814818
RA First SixYrs,COS,2009-10-01,1.5864383561643831,3.580398701577944,2.068341979984433,4.321147711501373
RA First SixYrs,COS,2010-10-01,4.9291232876712305,3.373716165851158,6.052873964042316,4.06182338825943
RA First SixYrs,COS,2011-10-01,4.35617486338798,3.698949737947188,4.726171125561314,3.60852904106378
RA First SixYrs,COS,2012-10-01,4.339287671232875,4.815575865850853,4.158672946472467,4.518365900361604
RA Last SixYrs,COS,2013-10-01,5.049945205479457,2.410778907748325,6.928080369096601,3.3544545387904847
RA Last SixYrs,COS,2014-10-01,6.621506849315062,1.4479482179445062,8.291778884885606,1.8065099580887487
RA Last SixYrs,COS,2015-10-01,6.134890710382515,3.1116350569674864,7.612331348472114,3.907450324295801
RA Last SixYrs,COS,2016-10-01,7.893726027397261,3.5908228313370505,9.143884599174848,3.7831671341283437
RA Last SixYrs,COS,2017-10-01,7.122986301369858,2.445765821395962,8.858257629919057,2.8411504839814614
RA Last SixYrs,COS,2018-10-01,6.646630136986298,2.589863140274615,8.21719205271235,3.114983599690277
RA Extended Period,COS,2019-10-01,7.6277595628415344,2.8599277521488173,9.055399034235943,3.1569147843903744
RA Extended Period,COS,2020-10-01,8.734328767123296,3.1287415230390567,10.700911246391735,3.840876172369816
RA Extended Period,COS,2021-10-01,7.6886849315068515,3.0355317838722593,9.814178893495892,3.380497569876148
RA Extended Period,COS,2022-10-01,8.437260273972603,3.886966337446853,9.38896630837702,3.4046205776120124
,CYB,2006-10-01,12.835150684931504,5.02409341138804,11.109527204028478,3.3311531143338975
RA First SixYrs,CYB,2007-10-01,10.63267759562842,5.0490100415705435,11.034155611322804,3.8591631428363677
RA First SixYrs,CYB,2008-10-01,11.95950684931507,6.1594328426363605,12.038679178523486,4.725990201606184
RA First SixYrs,CYB,2009-10-01,13.853452054794513,7.421256863577442,16.313042215718973,6.7047389301647
RA First SixYrs,CYB,2010-10-01,12.105753424657536,5.977983442427273,14.263897778075076,6.125153970399057
RA First SixYrs,CYB,2011-10-01,14.2966393442623,3.960346866776606,17.90831860428383,3.930720399568049
RA First SixYrs,CYB,2012-10-01,13.599917808219171,4.8738227368411025,17.098936261798364,3.885495589717345
RA Last SixYrs,CYB,2013-10-01,11.292191780821922,4.207105595369755,15.199661200629405,4.5061907058372475
RA Last SixYrs,CYB,2014-10-01,11.395808219178077,3.033148133619891,14.104868333543571,3.108275690085668
RA Last SixYrs,CYB,2015-10-01,12.834999999999988,3.2158610129784413,16.32065054519977,3.203902959598696
RA Last SixYrs,CYB,2016-10-01,10.704191780821917,2.9625962619754236,12.449333638903495,2.3156697807244515
RA Last SixYrs,CYB,2017-10-01,9.871095890410958,3.9498530928460376,11.942408867167051,3.359792274630347
RA Last SixYrs,CYB,2018-10-01,11.4112602739726,2.92469601138212,13.974721185354962,2.921788406308594
RA Extended Period,CYB,2019-10-01,9.857349726775961,2.987321670832796,11.717577606291709,3.289017116313295
RA Extended Period,CYB,2020-10-01,9.460520547945208,2.917331028985384,11.362819099057004,2.6177469957782926
RA Extended Period,CYB,2021-10-01,8.29079452054794,3.981923395476423,10.44750196694799,4.922028201803179
RA Extended Period,CYB,2022-10-01,10.253616438356163,4.759731277130915,10.982011648733305,3.7488914986254747
,CYC,2006-10-01,17.471671232876716,6.2679590068375095,15.085765958301712,3.4285931838742325
RA First SixYrs,CYC,2007-10-01,15.484262295081962,6.5836057387113955,16.242696405725567,4.15431388571661
RA First SixYrs,CYC,2008-10-01,16.435205479452062,6.326839764050425,17.422620397908883,4.393449814952611
RA First SixYrs,CYC,2009-10-01,16.18819178082191,7.544652244510129,20.025280370611608,6.60015232712511
RA First SixYrs,CYC,2010-10-01,14.756876712328765,5.860768439530081,18.180940402484815,7.318583893239843
RA First SixYrs,CYC,2011-10-01,14.854371584699466,4.853179668184914,18.57335968364457,4.378109321260341
RA First SixYrs,CYC,2012-10-01,16.320684931506843,5.625821631999603,21.037556207409285,5.432398369890881
RA Last SixYrs,CYC,2013-10-01,15.234602739726025,6.1178775290032394,20.76787187151135,7.523118042230416
RA Last SixYrs,CYC,2014-10-01,16.66476712328767,4.490851416254169,20.711710297753836,4.682927074028393
RA Last SixYrs,CYC,2015-10-01,17.32620218579235,4.583468693371693,21.932927700663008,3.781211256092089
RA Last SixYrs,CYC,2016-10-01,14.057726027397255,6.178416528840845,16.638674982326265,6.617625670107337
RA Last SixYrs,CYC,2017-10-01,12.164219178082202,4.16663094937772,14.945608766436084,3.6496612525494627
RA Last SixYrs,CYC,2018-10-01,14.106986301369867,4.635698225243529,17.080496106730497,3.940736799497489
RA Extended Period,CYC,2019-10-01,13.702540983606555,4.558931242479784,16.088621288695094,4.339085517493037
RA Extended Period,CYC,2020-10-01,13.251205479452059,6.009671159383497,16.294529013811818,7.81514333307519
RA Extended Period,CYC,2021-10-01,11.987863013698641,4.476210418027457,15.31517386937726,4.440264485749512
RA Extended Period,CYC,2022-10-01,11.84150684931508,5.860876915417399,13.003284131283879,4.220230479920378
,EDW,2006-10-01,12.803260273972604,4.432094864831134,11.370274204025597,3.878950084256714
RA First SixYrs,EDW,2007-10-01,13.074207650273234,3.5717630504093862,14.661840083017168,4.168118567369415
RA First SixYrs,EDW,2008-10-01,16.324712328767124,5.497938248625489,17.843712548562095,4.597728311078024
RA First SixYrs,EDW,2009-10-01,11.462904109589044,4.191212065255649,15.280524919604964,6.690467449243792
RA First SixYrs,EDW,2010-10-01,10.62156164383561,4.380894399706756,13.244273494872985,6.186561452994508
RA First SixYrs,EDW,2011-10-01,13.856120218579242,5.208482252231358,17.156955796123906,4.4287261163996865
RA First SixYrs,EDW,2012-10-01,9.990109589041095,4.382286897214256,13.514777711022477,6.863241583537646
RA Last SixYrs,EDW,2013-10-01,7.723890410958906,6.483824352164045,10.82833899958839,9.293502239577068
RA Last SixYrs,EDW,2014-10-01,10.423698630136983,1.3475122650763187,13.227811266979954,2.6256464974875464
RA Last SixYrs,EDW,2015-10-01,11.325054644808748,2.1368558062563725,14.97763630204678,4.536543302081594
RA Last SixYrs,EDW,2016-10-01,13.543013698630157,4.026175988511998,16.213482987726614,4.983479827157816
RA Last SixYrs,EDW,2017-10-01,11.480438356164381,3.7650189096116895,14.396514430782881,4.97944818178313
RA Last SixYrs,EDW,2018-10-01,14.80183561643835,4.205812131704119,18.40819153965312,5.487344916772141
RA Extended Period,EDW,2019-10-01,16.36994535519127,3.518747753168708,19.719245897991133,4.724670170866004
RA Extended Period,EDW,2020-10-01,12.377671232876706,4.420011225356196,14.88998547220674,3.8679152767110407
RA Extended Period,EDW,2021-10-01,11.432739726027389,5.769147303124485,14.621289485686885,7.364931526020138
RA Extended Period,EDW,2022-10-01,12.36517808219178,2.6840800055962375,14.626888216429753,4.4002707345506735
,MRB,2006-10-01,8.008219178082188,3.220651486234586,7.034331365499274,2.130730226283124
RA First SixYrs,MRB,2007-10-01,6.535054644808748,4.678431404644576,6.927804674556393,4.401802767284206
RA First SixYrs,MRB,2008-10-01,10.41304109589041,9.428492025778805,8.832726644607868,7.018033388526941
RA First SixYrs,MRB,2009-10-01,4.2539068493150705,5.800530239317195,5.243856951026527,6.456592921771494
RA First SixYrs,MRB,2010-10-01,8.597095890410959,3.4196477075974534,10.341522105102229,3.3029362266634363
RA First SixYrs,MRB,2011-10-01,8.369234972677596,5.650224140490992,9.385921046907551,5.213618778755669
RA First SixYrs,MRB,2012-10-01,7.575835616438353,6.012640775381728,8.166505288232663,5.417810630165831
RA Last SixYrs,MRB,2013-10-01,7.628356164383563,3.555196171500725,10.091198048539127,3.677468807178169
RA Last SixYrs,MRB,2014-10-01,5.273315068493149,2.510965998150055,6.615004838834518,3.1501336535530267
RA Last SixYrs,MRB,2015-10-01,5.647240437158471,3.9978685118350246,7.0609809564144586,4.71884295129425
RA Last SixYrs,MRB,2016-10-01,8.191397260273977,3.2872145709866096,9.552504276673979,3.262414886900252
RA Last SixYrs,MRB,2017-10-01,7.769643835616439,3.087682393820029,9.466471502363415,2.934398346486912
RA Last SixYrs,MRB,2018-10-01,8.12216438356164,2.3367088425095197,10.110996309960118,3.002162651800636
RA Extended Period,MRB,2019-10-01,6.970683060109292,2.8243112528010306,8.242294878445113,2.995176271580809
RA Extended Period,MRB,2020-10-01,7.46153424657534,3.9499898250049488,8.753881207367494,4.104559189242969
RA Extended Period,MRB,2021-10-01,4.855424657534249,2.8891766856353547,6.234311694045555,3.5217665537902425
RA Extended Period,MRB,2022-10-01,7.6107945205479375,3.476717485918725,8.37267411920996,2.340355688756604
,NWH,2006-10-01,9.103726027397265,1.4382094833991754,8.186774102302202,1.4557977093308216
RA First SixYrs,NWH,2007-10-01,7.819480874316942,2.182106059076381,8.57987305429437,1.9096870442998488
RA First SixYrs,NWH,2008-10-01,6.740630136986297,1.5293041898632618,7.530884605160969,1.9303561110519538
RA First SixYrs,NWH,2009-10-01,7.256328767123284,2.241153475914656,9.490216433613595,2.6580568387029824
RA First SixYrs,NWH,2010-10-01,8.318794520547945,1.6709711836752867,10.347279639295083,2.234014447208777
RA First SixYrs,NWH,2011-10-01,3.608480874316941,2.7646476707654455,4.042892312236383,2.8633579766949704
RA First SixYrs,NWH,2012-10-01,2.953835616438352,2.805179192596111,2.9883522538034084,2.757028590884781
RA Last SixYrs,NWH,2013-10-01,2.4779178082191784,2.234980036254628,3.232626942918893,2.9900425109028
RA Last SixYrs,NWH,2014-10-01,3.5790958904109598,2.3338152050043393,4.304395856959974,2.8422660054448166
RA Last SixYrs,NWH,2015-10-01,2.3762841530054657,2.2697214520114084,3.0538571385291826,3.0310101020283122
RA Last SixYrs,NWH,2016-10-01,0.9791780821917806,2.261902433638222,1.030636403161156,2.2767983387679296
RA Last SixYrs,NWH,2017-10-01,1.1782739726027407,1.3484845101755338,1.5060661234226143,1.7400042863756524
RA Last SixYrs,NWH,2018-10-01,0.8392328767123286,0.9877721981305561,1.0647089670939665,1.2785604253930538
RA Extended Period,NWH,2019-10-01,5.019262295081968,5.672159527100396,6.034060041619418,6.86750051917592
RA Extended Period,NWH,2020-10-01,5.097890410958898,5.351768547065901,6.20077051072023,6.5822916353954035
RA Extended Period,NWH,2021-10-01,3.3344657534246602,4.6434796601155,4.606123485169737,6.534414700522708
RA Extended Period,NWH,2022-10-01,2.8287123287671223,1.9242084820524352,2.9841412719221583,1.9866103124797136
,S21,2006-10-01,5.323397260273971,1.444241680367644,4.755802198540587,1.2176820369621235
RA First SixYrs,S21,2007-10-01,4.500683060109289,2.2913741341303386,4.942014967529294,2.521284586999897
RA First SixYrs,S21,2008-10-01,2.978136986301369,2.3913737678720817,2.8411293043952544,2.492368366918254
RA First SixYrs,S21,2009-10-01,1.353260273972603,2.1560432702453487,1.403528057852764,2.2175342729412515
RA First SixYrs,S21,2010-10-01,1.49290410958904,2.276336777674859,1.6242217726267048,2.483899234556769
RA First SixYrs,S21,2011-10-01,1.2377049180327861,2.0417837166469885,1.1808554437782715,2.0792349654461826
RA First SixYrs,S21,2012-10-01,2.5365479452054784,2.6317897278199642,2.856978549715998,3.1763466038544306
RA Last SixYrs,S21,2013-10-01,1.1146301369863012,1.9032710961848778,1.3956121721811217,2.373703315842515
RA Last SixYrs,S21,2014-10-01,3.0030410958904112,2.307047328227166,3.5572932713480148,2.8012968992593366
RA Last SixYrs,S21,2015-10-01,0.01639344262295082,0.1727222756474341,0.01841877422074063,0.1931417642327672
RA Last SixYrs,S21,2016-10-01,5.3846027397260245,3.802534748668014,6.025948800508372,4.439955286746618
RA Last SixYrs,S21,2017-10-01,7.021013698630146,2.7489317230414416,8.900084304602203,3.7919090811680394
RA Last SixYrs,S21,2018-10-01,2.875232876712327,3.2792981631550675,3.5171749895844946,4.1403774425587905
RA Extended Period,S21,2019-10-01,4.535136612021857,5.086588959367564,5.386110250335721,6.037998581721911
RA Extended Period,S21,2020-10-01,5.699972602739733,3.8377409004553034,6.733207159852783,4.832471496987945
RA Extended Period,S21,2021-10-01,3.9468767123287782,2.900452522221216,5.185579545884966,3.662875471144319
RA Extended Period,S21,2022-10-01,4.9148767123287715,2.47438221807626,5.7658235759488425,2.954235340109326
,SPC,2006-10-01,10.771150684931504,3.3319658573407778,9.536080079630418,2.909119566482526
RA First SixYrs,SPC,2007-10-01,6.867459016393446,4.875551345537576,7.1398101166067605,4.579970767985259
RA First SixYrs,SPC,2008-10-01,4.129945205479451,5.602126558282246,3.700923114207178,4.850336696567823
RA First SixYrs,SPC,2009-10-01,6.08767123287671,6.404322355774277,6.330849510637969,6.61770377558836
RA First SixYrs,SPC,2010-10-01,4.177123287671234,5.266667336528808,4.58155914645991,5.733756630625645
RA First SixYrs,SPC,2011-10-01,2.4925683060109303,4.556750880969017,2.143670918261629,3.7757684619060585
RA First SixYrs,SPC,2012-10-01,5.225589041095887,5.356374962858443,5.2530487103935855,5.389121969357062
RA Last SixYrs,SPC,2013-10-01,4.419397260273974,4.98603777689558,5.516996259758374,6.374394858027428
RA Last SixYrs,SPC,2014-10-01,5.054383561643835,3.6084500136246764,6.07114902675615,4.438373337081919
RA Last SixYrs,SPC,2015-10-01,2.9035792349726783,4.757859485105249,3.901339843272444,6.451715351820241
RA Last SixYrs,SPC,2016-10-01,5.515698630136983,4.890549236231418,5.920788748709904,4.977600634249221
RA Last SixYrs,SPC,2017-10-01,7.074219178082185,2.3827285486274894,8.966804985163531,3.3568446585166183
RA Last SixYrs,SPC,2018-10-01,3.9501369863013687,4.1302515333131895,4.693290805493717,4.914627736422705
RA Extended Period,SPC,2019-10-01,3.8917213114754134,4.90017785966657,4.7109045472533015,6.0227682888669625
RA Extended Period,SPC,2020-10-01,5.206575342465755,4.698659447346399,5.742010948565469,5.152470233794226
RA Extended Period,SPC,2021-10-01,10.401917808219187,3.7401099096260433,13.784414057999555,5.372151984254187
RA Extended Period,SPC,2022-10-01,10.733972602739717,3.7280681514833645,12.107460445227137,2.7979581578532886
,STK,2006-10-01,12.298547945205476,1.997527957423756,11.04383029372836,1.8882308339132785
RA First SixYrs,STK,2007-10-01,5.203961748633876,3.528302923761022,5.437277749484005,2.7719496514364788
RA First SixYrs,STK,2008-10-01,4.2639452054794535,1.1585934525095833,4.67125570741718,1.0557719025841432
RA First SixYrs,STK,2009-10-01,3.290246575342469,1.0269830426072208,4.459215770390667,1.772381049970705
RA First SixYrs,STK,2010-10-01,4.110958904109588,0.6270561001235101,5.157433341235887,1.1505464611968133
RA First SixYrs,STK,2011-10-01,4.154617486338799,0.7461721429945334,5.493194222351055,1.8451648245007952
RA First SixYrs,STK,2012-10-01,4.430164383561646,0.6660041376488082,6.2601755942825426,2.429451195871697
RA Last SixYrs,STK,2013-10-01,4.249205479452053,1.2146340623679297,5.9247607197587255,2.0400224472372366
RA Last SixYrs,STK,2014-10-01,4.069178082191782,1.2178825001344198,5.094745023945447,1.575327885175454
RA Last SixYrs,STK,2015-10-01,4.0843715846994515,1.267838853102764,5.28957720892898,1.757342321138124
RA Last SixYrs,STK,2016-10-01,3.8740547945205486,1.284177590873401,4.761557790026472,1.959783621763549
RA Last SixYrs,STK,2017-10-01,4.887726027397258,0.38522154537167635,6.229178284168957,1.0583315046319643
RA Last SixYrs,STK,2018-10-01,4.9555068493150705,0.47680377939603225,6.18548317885244,0.8967042306844848
RA Extended Period,STK,2019-10-01,4.943907103825136,0.3178235611218805,5.968174540712091,0.7915292552460843
RA Extended Period,STK,2020-10-01,5.2063013698630165,0.4169786237481659,6.488128699551425,1.1645731418433507
RA Extended Period,STK,2021-10-01,5.011506849315072,0.2713117870726509,6.604162058197369,0.9370333447419706
RA Extended Period,STK,2022-10-01,5.054876712328764,0.23516605923845355,6.047844875470902,1.4527073329399838
